provider,model,sentiment_mean,toxicity_mean,stereotype_mean,sentiment_consistency
claude,claude-sonnet-4-20250514,0.7798665995975855,0.010865191146881288,0.03501006036217304,0.1479384244596406
openai,gpt-4o-mini,0.779806125,0.0015,0.023,0.15249899095806888
openai,gpt-4.1-mini,0.7563427500000001,0.0007500000000000001,0.021500000000000005,0.15760902068647586
gemini,gemini-2.5-pro,0.7521406,0.007600000000000001,0.048400000000000006,0.14338747863629864
openai,gpt-4o,0.7518246867167919,0.001503759398496241,0.02756892230576441,0.17292493832692976
gemini,gemini-2.5-flash-lite,0.7491815895372234,0.004828973843058351,0.027364185110663984,0.14007327577987014
claude,claude-opus-4-1-20250805,0.7461804210526316,0.008421052631578947,0.026947368421052633,0.17758778262162014
claude,claude-sonnet-4-5-20250929,0.7431977035490607,0.009394572025052192,0.04676409185803757,0.1516461353425028
openai,gpt-4.1,0.7399582500000002,0.0025,0.044500000000000005,0.17824084302823712
openai,gpt-4-turbo,0.7386964912280701,0.002506265664160401,0.040601503759398506,0.19964304002253125
gemini,gemini-2.5-flash,0.7059119477911646,0.0034136546184738957,0.03132530120481928,0.1373143704138574
gemini,gemini-2.0-flash,0.6879560606060606,0.00404040404040404,0.01696969696969697,0.1573009192288346
